Learner Combination,MI
XGB,0.0358
NB,0.0215
KNN,0.0323
LR,0.0317
PLS,0.0428
SVM,0.0430
MLP,0.0382
DT,0.0055
RF,0.0401
ET,0.0429
"SVM, NB",0.0464
"SVM, KNN",0.0407
"SVM, LR",0.0459
"SVM, PLS",0.0463
"SVM, MLP",0.0495
"SVM, DT",0.0440
"SVM, RF",0.0479
"SVM, ET",0.0472
"SVM, XGB",0.0469
"SVM, MLP, NB",0.0485
"SVM, MLP, KNN",0.0447
"SVM, MLP, LR",0.0440
"SVM, MLP, PLS",0.0487
"SVM, MLP, DT",0.0437
"SVM, MLP, RF",0.0492
"SVM, MLP, ET",0.0491
"SVM, MLP, XGB",0.0462
"SVM, MLP, RF, NB",0.0462
"SVM, MLP, RF, KNN",0.0497
"SVM, MLP, RF, LR",0.0471
"SVM, MLP, RF, PLS",0.0482
"SVM, MLP, RF, DT",0.0414
"SVM, MLP, RF, ET",0.0480
"SVM, MLP, RF, XGB",0.0494
"SVM, MLP, ET, NB",0.0475
"SVM, MLP, ET, KNN",0.0477
"SVM, MLP, ET, LR",0.0444
"SVM, MLP, ET, PLS",0.0521
"SVM, MLP, ET, DT",0.0412
"SVM, MLP, ET, RF",0.0480
"SVM, MLP, ET, XGB",0.0485
"SVM, MLP, ET, PLS, NB",0.0504
"SVM, MLP, ET, PLS, KNN",0.0478
"SVM, MLP, ET, PLS, LR",0.0458
"SVM, MLP, ET, PLS, DT",0.0440
"SVM, MLP, ET, PLS, RF",0.0513
"SVM, MLP, ET, PLS, XGB",0.0467
"SVM, MLP, ET, PLS, RF, NB",0.0463
"SVM, MLP, ET, PLS, RF, KNN",0.0488
"SVM, MLP, ET, PLS, RF, LR",0.0480
"SVM, MLP, ET, PLS, RF, DT",0.0444
"SVM, MLP, ET, PLS, RF, XGB",0.0474
"SVM, MLP, ET, PLS, RF, KNN, NB",0.0491
"SVM, MLP, ET, PLS, RF, KNN, LR",0.0495
"SVM, MLP, ET, PLS, RF, KNN, DT",0.0445
"SVM, MLP, ET, PLS, RF, KNN, XGB",0.0455
"SVM, MLP, ET, PLS, RF, KNN, LR, NB",0.0498
"SVM, MLP, ET, PLS, RF, KNN, LR, DT",0.0439
"SVM, MLP, ET, PLS, RF, KNN, LR, XGB",0.0474
"SVM, MLP, ET, PLS, RF, KNN, LR, NB, DT",0.0452
"SVM, MLP, ET, PLS, RF, KNN, LR, NB, XGB",0.0441
"SVM, MLP, ET, PLS, RF, KNN, LR, NB, DT, XGB",0.0434
"SVM, MLP, RF, KNN, NB",0.0478
"SVM, MLP, RF, KNN, LR",0.0496
"SVM, MLP, RF, KNN, PLS",0.0469
"SVM, MLP, RF, KNN, DT",0.0444
"SVM, MLP, RF, KNN, ET",0.0473
"SVM, MLP, RF, KNN, XGB",0.0511
"SVM, MLP, RF, KNN, XGB, NB",0.0478
"SVM, MLP, RF, KNN, XGB, LR",0.0472
"SVM, MLP, RF, KNN, XGB, PLS",0.0458
"SVM, MLP, RF, KNN, XGB, DT",0.0456
"SVM, MLP, RF, KNN, XGB, ET",0.0516
"SVM, MLP, RF, KNN, XGB, ET, NB",0.0487
"SVM, MLP, RF, KNN, XGB, ET, LR",0.0464
"SVM, MLP, RF, KNN, XGB, ET, PLS",0.0455
"SVM, MLP, RF, KNN, XGB, ET, DT",0.0438
"SVM, MLP, RF, KNN, XGB, ET, NB, LR",0.0445
"SVM, MLP, RF, KNN, XGB, ET, NB, PLS",0.0445
"SVM, MLP, RF, KNN, XGB, ET, NB, DT",0.0423
"SVM, MLP, RF, KNN, XGB, ET, NB, LR, PLS",0.0441
"SVM, MLP, RF, KNN, XGB, ET, NB, LR, DT",0.0406
"SVM, MLP, RF, KNN, XGB, ET, NB, PLS, LR",0.0441
"SVM, MLP, RF, KNN, XGB, ET, NB, PLS, DT",0.0413
"SVM, MLP, RF, KNN, XGB, ET, NB, PLS, LR, DT",0.0434
